iter	RMSE
0	3598.952924
1	3277.235391
2	2994.850478
3	2747.373798
4	2537.198062
5	2352.3375
6	2193.534802
7	2035.119929
8	1894.485545
9	1763.183339
10	1642.199084
11	1532.060381
12	1433.930571
13	1351.595535
14	1274.442019
15	1208.993602
16	1156.363244
17	1097.270551
18	1048.479279
19	1005.047413
20	967.3652434
21	935.6322822
22	906.2812837
23	880.7160398
24	856.6495763
25	835.7839355
26	815.833059
27	800.7023821
28	785.65187
29	772.4223697
30	760.9221291
31	750.1599271
32	741.502939
33	732.9116222
34	719.7469715
35	711.937282
36	704.7561635
37	699.3318445
38	693.9386016
39	689.3910781
40	685.0566537
41	680.5088536
42	673.2501942
43	669.6618833
44	665.8594242
45	663.2741387
46	659.1050343
47	655.6398687
48	649.6005074
49	647.5057939
50	645.3978714
51	641.6095713
52	639.7329227
53	638.0261813
54	634.6502444
55	634.4998459
56	633.4465315
57	631.9883039
58	629.8224749
59	627.1515306
60	624.5329198
61	623.3409284
62	622.3324841
63	620.4096987
64	618.3106596
65	616.6482856
66	614.6204023
67	613.750202
68	612.7776192
69	611.1270614
70	610.7958912
71	609.9220135
72	608.0108592
73	604.6729057
74	602.4152766
75	601.9612919
76	601.2119888
77	601.1290229
78	599.7452672
79	599.0164755
80	598.8416917
81	598.8025339
82	597.1707943
83	595.4100284
84	594.6176886
85	593.2968838
86	591.6432349
87	591.6051008
88	591.479259
89	590.1251736
90	590.0228893
91	588.672147
92	587.9515843
93	586.8457836
94	586.4229441
95	586.0494757
96	584.995382
97	584.9765882
98	584.5645348
99	583.7957978
100	583.2245638
101	582.1796653
102	581.8789847
103	580.5880669
104	580.3745554
105	580.3661495
106	580.2446908
107	580.2371777
108	580.218358
109	580.0168525
110	579.4718289
111	579.0186687
112	578.201205
113	578.1416631
114	578.0389083
115	577.5936016
116	576.8468284
117	576.0624344
118	575.970207
119	575.2070397
120	575.0333341
121	574.3706863
122	573.4007841
123	572.6321218
124	572.0545891
125	570.6044615
126	570.5140217
127	569.2416414
128	568.0119086
129	568.0020958
130	567.9930421
131	567.9837345
132	566.807133
133	565.8936805
134	565.0702999
