iter	Passed	Remaining
0	21	10654
1	42	10463
2	63	10562
3	85	10553
4	107	10641
5	128	10573
6	149	10556
7	172	10578
8	192	10527
9	212	10421
10	233	10376
11	252	10258
12	271	10181
13	291	10127
14	310	10026
15	328	9923
16	347	9861
17	366	9808
18	384	9739
19	403	9680
20	421	9607
21	438	9536
22	457	9492
23	476	9455
24	496	9424
25	528	9638
26	547	9584
27	567	9571
28	588	9563
29	608	9533
30	631	9546
31	653	9553
32	673	9534
33	693	9510
34	717	9532
35	740	9542
36	760	9515
37	781	9498
38	801	9475
39	822	9453
40	842	9435
41	864	9427
42	884	9400
43	905	9384
44	926	9369
45	947	9349
46	987	9515
47	1008	9497
48	1028	9465
49	1051	9461
50	1073	9449
51	1097	9455
52	1120	9446
53	1146	9465
54	1165	9433
55	1176	9331
56	1198	9315
57	1219	9290
58	1238	9260
59	1259	9236
60	1280	9215
61	1316	9303
62	1338	9284
63	1358	9257
64	1397	9350
65	1418	9328
66	1440	9310
67	1462	9289
68	1485	9280
69	1523	9356
70	1557	9412
71	1577	9374
72	1597	9343
73	1619	9322
74	1645	9325
75	1672	9330
76	1707	9379
77	1726	9339
78	1747	9314
79	1768	9283
80	1788	9249
81	1796	9156
82	1816	9125
83	1848	9156
84	1870	9133
85	1895	9122
86	1917	9104
87	1935	9063
88	1956	9035
89	1977	9006
90	1997	8976
91	2035	9026
92	2057	9003
93	2079	8982
94	2098	8945
95	2119	8917
96	2140	8891
97	2153	8832
98	2174	8807
99	2196	8784
100	2217	8761
101	2239	8740
102	2262	8719
103	2283	8696
104	2303	8664
105	2316	8611
106	2337	8584
107	2351	8535
108	2371	8507
109	2394	8487
110	2415	8463
111	2435	8438
112	2455	8408
113	2474	8378
114	2495	8353
115	2514	8324
116	2536	8302
117	2556	8275
118	2579	8257
119	2599	8231
120	2622	8215
121	2646	8199
122	2667	8176
123	2692	8163
124	2723	8170
125	2744	8147
126	2764	8120
127	2786	8099
128	2809	8078
129	2831	8058
130	2850	8028
131	2869	7999
132	2890	7975
133	2912	7954
134	2932	7928
135	2954	7907
136	2975	7884
137	2994	7856
138	3014	7827
139	3034	7803
140	3054	7777
141	3073	7748
142	3093	7721
143	3114	7700
144	3135	7676
145	3155	7650
146	3179	7634
147	3201	7613
148	3222	7591
149	3244	7570
150	3268	7555
151	3292	7537
152	3314	7516
153	3335	7493
154	3358	7474
155	3381	7455
156	3403	7435
157	3425	7415
158	3448	7396
159	3468	7369
160	3490	7350
161	3511	7325
162	3532	7302
163	3554	7282
164	3575	7258
165	3596	7236
166	3621	7220
167	3644	7201
168	3663	7175
169	3689	7162
170	3713	7145
171	3739	7132
172	3764	7115
173	3789	7100
174	3816	7087
175	3840	7069
176	3864	7052
177	3887	7031
178	3909	7011
179	3933	6992
180	3958	6976
181	3981	6956
182	4003	6934
183	4027	6917
184	4051	6897
185	4075	6880
186	4100	6863
187	4123	6843
188	4146	6822
189	4167	6799
190	4190	6778
191	4212	6757
192	4235	6737
193	4258	6716
194	4279	6693
195	4300	6670
196	4322	6648
197	4344	6626
198	4365	6602
199	4386	6579
200	4406	6554
201	4426	6530
202	4464	6532
203	4484	6507
204	4504	6481
205	4524	6457
206	4546	6435
207	4564	6407
208	4585	6385
209	4603	6357
210	4621	6329
211	4639	6302
212	4663	6283
213	4682	6257
214	4700	6230
215	4718	6203
216	4742	6185
217	4760	6158
218	4779	6132
219	4799	6108
220	4818	6082
221	4836	6056
222	4855	6030
223	4874	6006
224	4892	5980
225	4912	5955
226	4930	5929
227	4949	5904
228	4969	5881
229	4989	5857
230	5008	5832
231	5027	5807
232	5046	5782
233	5074	5768
234	5095	5745
235	5114	5721
236	5133	5696
237	5153	5672
238	5172	5648
239	5192	5625
240	5212	5602
241	5231	5577
242	5249	5551
243	5267	5526
244	5287	5503
245	5311	5484
246	5330	5460
247	5350	5436
248	5369	5412
249	5389	5389
250	5409	5366
251	5429	5342
252	5448	5319
253	5467	5295
254	5486	5271
255	5504	5246
256	5521	5220
257	5540	5196
258	5567	5180
259	5588	5158
260	5608	5136
261	5627	5111
262	5663	5103
263	5682	5079
264	5703	5057
265	5723	5034
266	5743	5011
267	5763	4989
268	5783	4966
269	5801	4942
270	5822	4920
271	5842	4897
272	5862	4874
273	5881	4851
274	5903	4830
275	5923	4807
276	5943	4785
277	5980	4776
278	6003	4755
279	6024	4733
280	6046	4712
281	6067	4690
282	6090	4669
283	6112	4648
284	6133	4627
285	6154	4605
286	6174	4582
287	6194	4559
288	6216	4538
289	6236	4515
290	6255	4493
291	6275	4470
292	6295	4447
293	6315	4425
294	6335	4402
295	6353	4378
296	6371	4355
297	6397	4336
298	6415	4313
299	6434	4289
300	6453	4266
301	6471	4243
302	6490	4219
303	6509	4196
304	6528	4173
305	6546	4150
306	6564	4127
307	6584	4104
308	6603	4081
309	6621	4058
310	6642	4036
311	6661	4014
312	6680	3991
313	6699	3968
314	6717	3945
315	6736	3922
316	6754	3899
317	6774	3877
318	6792	3854
319	6812	3832
320	6832	3809
321	6851	3787
322	6869	3764
323	6888	3741
324	6907	3719
325	6926	3696
326	6946	3675
327	6963	3651
328	6983	3629
329	7002	3607
330	7022	3585
331	7041	3563
332	7061	3541
333	7088	3522
334	7105	3499
335	7140	3485
336	7158	3462
337	7179	3441
